Datum waarneming;Leefgebied of gemeente;Provincie;Type waarneming;Classificering,
31-07-24;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
30-07-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
30-07-24;Zeist;Utrecht;Wolf gezien;C1,
30-07-24;Zeist;Utrecht;Wolf gezien;C1,
30-07-24;Utrechtse Heuvelrug;Utrecht;Wolf gezien;C1,
30-07-24;Midden-Drenthe;Drenthe;Wolf gezien;C1,
29-07-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
29-07-24;Utrechtse Heuvelrug;Utrecht;Wolf gezien;C1,
29-07-24;Utrechtse Heuvelrug;Utrecht;Wolf gezien;C1,
28-07-24;Utrechtse Heuvelrug;Utrecht;Wolf gezien;C1,
28-07-24;Midden-Drenthe;Drenthe;Wolvenkeutel;C2,
28-07-24;Midden-Drenthe;Drenthe;Wolf gezien;C1,
27-07-24;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
27-07-24;Zeist;Utrecht;Wolf gezien;C1,
26-07-24;Noord- en Midden-Veluwe;Gelderland;Wolvenkeutel;C2,
26-07-24;Noord- en Midden-Veluwe;Gelderland;Wolvenkeutel;C2,
26-07-24;Noord- en Midden-Veluwe;Gelderland;Wolvenkeutel;C2,
26-07-24;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
26-07-24;Midden-Drenthe;Drenthe;Wolf gezien;C1,
25-07-24;Noord- en Midden-Veluwe;Gelderland;Wolvenkeutel;C2,
25-07-24;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
25-07-24;Leusden;Utrecht;Wolf gezien;C1,
24-07-24;Midden-Drenthe;Drenthe;Wolf gezien;C1,
23-07-24;Heerde;Gelderland;Wolf gezien;C1,
23-07-24;Heerde;Gelderland;Wolf gezien;C1,
23-07-24;Heerde;Gelderland;Wolf gezien;C1,
23-07-24;Leusden;Utrecht;Wolf gezien;C1,
23-07-24;Leusden;Utrecht;Wolf gezien;C1,
22-07-24;De Bilt;Utrecht;Wolf gezien;C1,
22-07-24;Zeist;Utrecht;Wolf gezien;C1,
21-07-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
21-07-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
21-07-24;Heerde;Gelderland;Wolf gezien;C1,
20-07-24;Midden-Drenthe;Drenthe;Wolvenkeutel;C2,
19-07-24;Noord- en Midden-Veluwe;Gelderland;Wolvenkeutel;C2,
19-07-24;Leusden;Utrecht;Wolf gezien;C1,
19-07-24;Midden-Drenthe;Drenthe;Wolvenkeutel;C2,
19-07-24;Midden-Drenthe;Drenthe;Wolvenkeutel;C2,
18-07-24;Heerde;Gelderland;Wolf gezien;C1,
18-07-24;Utrechtse Heuvelrug;Utrecht;Wolf gezien;C1,
