year_month,latitude,longitude,slachtoffers_per_maand,cumulative_slachtoffers,animation_month
2015-03,40.7127281,-74.0060152,1,1,2015-03
2015-03,52.8492168,6.6103067,3,3,2015-03
2015-03,53.2963932,7.0465238,1,1,2015-03
2015-03,53.3577829,6.8713839,3,3,2015-03
2015-03,40.7127281,-74.0060152,1,1,2017-09
2015-03,52.8492168,6.6103067,3,3,2017-09
2015-03,53.2963932,7.0465238,1,1,2017-09
2015-03,53.3577829,6.8713839,3,3,2017-09
2017-09,53.1983282,7.083378,3,3,2017-09
2015-03,40.7127281,-74.0060152,1,1,2017-10
2015-03,52.8492168,6.6103067,3,3,2017-10
2015-03,53.2963932,7.0465238,1,1,2017-10
2015-03,53.3577829,6.8713839,3,3,2017-10
2017-09,53.1983282,7.083378,3,3,2017-10
2017-10,52.4589958,6.1736547,4,4,2017-10
2015-03,40.7127281,-74.0060152,1,1,2017-11
2015-03,52.8492168,6.6103067,3,3,2017-11
2015-03,53.2963932,7.0465238,1,1,2017-11
2015-03,53.3577829,6.8713839,3,3,2017-11
2017-09,53.1983282,7.083378,3,3,2017-11
2017-10,52.4589958,6.1736547,4,4,2017-11
2017-11,52.457312,6.5696271,4,4,2017-11
2017-11,52.527161,6.6173647,1,1,2017-11
2015-03,40.7127281,-74.0060152,1,1,2017-12
2015-03,52.8492168,6.6103067,3,3,2017-12
2015-03,53.2963932,7.0465238,1,1,2017-12
2015-03,53.3577829,6.8713839,3,3,2017-12
2017-09,53.1983282,7.083378,3,3,2017-12
2017-10,52.4589958,6.1736547,4,4,2017-12
2017-11,52.457312,6.5696271,4,4,2017-12
2017-11,52.527161,6.6173647,1,1,2017-12
2017-12,51.388689,5.9178418,2,2,2017-12
2017-12,52.3203863,6.3513751,1,1,2017-12
2017-12,52.396489,6.3672089,6,6,2017-12
2017-12,52.6134275,6.2634786,3,3,2017-12
2015-03,40.7127281,-74.0060152,1,1,2018-02
2015-03,52.8492168,6.6103067,3,3,2018-02
2015-03,53.2963932,7.0465238,1,1,2018-02
2015-03,53.3577829,6.8713839,3,3,2018-02
2017-09,53.1983282,7.083378,3,3,2018-02
2017-10,52.4589958,6.1736547,4,4,2018-02
2017-11,52.457312,6.5696271,4,4,2018-02
2017-11,52.527161,6.6173647,1,1,2018-02
2017-12,51.388689,5.9178418,2,2,2018-02
2017-12,52.3203863,6.3513751,1,1,2018-02
2017-12,52.396489,6.3672089,6,6,2018-02
2017-12,52.6134275,6.2634786,3,3,2018-02
2018-02,52.2391743,5.3734101,1,1,2018-02
2015-03,40.7127281,-74.0060152,1,1,2018-03
2015-03,52.8492168,6.6103067,3,3,2018-03
2015-03,53.2963932,7.0465238,1,1,2018-03
2015-03,53.3577829,6.8713839,3,3,2018-03
2017-09,53.1983282,7.083378,3,3,2018-03
2017-10,52.4589958,6.1736547,4,4,2018-03
2017-11,52.457312,6.5696271,4,4,2018-03
2017-11,52.527161,6.6173647,1,1,2018-03
2017-12,51.388689,5.9178418,2,2,2018-03
2017-12,52.3203863,6.3513751,1,1,2018-03
2017-12,52.396489,6.3672089,6,6,2018-03
2017-12,52.6134275,6.2634786,3,3,2018-03
2018-02,52.2391743,5.3734101,1,1,2018-03
2018-03,51.2501987,5.9009266,2,2,2018-03
2018-03,51.3702109,6.1688954,9,9,2018-03
2018-03,51.4610426,6.1617184,4,4,2018-03
2018-03,51.7555148,8.041135,2,2,2018-03
2018-03,52.5559484,5.9033303,5,5,2018-03
2018-03,52.5831257,6.286441,2,2,2018-03
2018-03,52.6156731,6.1861398,1,1,2018-03
2018-03,52.62233,6.49682,1,1,2018-03
2018-03,52.6368387,6.208129727382328,3,3,2018-03
2018-03,52.6685225,6.5008322,1,1,2018-03
2018-03,52.7274317,6.6768343,2,2,2018-03
2018-03,52.7755373,6.7475163,10,10,2018-03
2018-03,52.9459295,7.1505197,1,1,2018-03
2018-03,53.1110132,6.4331278,5,5,2018-03
2018-03,53.2607348,6.5918683,5,5,2018-03
2015-03,40.7127281,-74.0060152,1,1,2018-04
2015-03,52.8492168,6.6103067,3,3,2018-04
2015-03,53.2963932,7.0465238,1,1,2018-04
2015-03,53.3577829,6.8713839,3,3,2018-04
2017-09,53.1983282,7.083378,3,3,2018-04
2017-10,52.4589958,6.1736547,4,4,2018-04
2017-11,52.457312,6.5696271,4,4,2018-04
2017-11,52.527161,6.6173647,1,1,2018-04
2017-12,51.388689,5.9178418,2,2,2018-04
2017-12,52.3203863,6.3513751,1,1,2018-04
2017-12,52.396489,6.3672089,6,6,2018-04
2017-12,52.6134275,6.2634786,3,3,2018-04
2018-02,52.2391743,5.3734101,1,1,2018-04
