Datum waarneming,Leefgebied of gemeente,Provincie,Type waarneming,Classificering,latitude,longitude
31-07-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
30-07-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
30-07-24,Zeist,Utrecht,Wolf gezien,C1,52.0892832,5.2276307
30-07-24,Zeist,Utrecht,Wolf gezien,C1,52.0892832,5.2276307
30-07-24,Utrechtse Heuvelrug,Utrecht,Wolf gezien,C1,52.028653649999995,5.394884269227865
30-07-24,Midden-Drenthe,Drenthe,Wolf gezien,C1,52.87061935,6.568055858657804
29-07-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
29-07-24,Utrechtse Heuvelrug,Utrecht,Wolf gezien,C1,52.028653649999995,5.394884269227865
29-07-24,Utrechtse Heuvelrug,Utrecht,Wolf gezien,C1,52.028653649999995,5.394884269227865
28-07-24,Utrechtse Heuvelrug,Utrecht,Wolf gezien,C1,52.028653649999995,5.394884269227865
28-07-24,Midden-Drenthe,Drenthe,Wolvenkeutel,C2,52.87061935,6.568055858657804
28-07-24,Midden-Drenthe,Drenthe,Wolf gezien,C1,52.87061935,6.568055858657804
27-07-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
27-07-24,Zeist,Utrecht,Wolf gezien,C1,52.0892832,5.2276307
26-07-24,Veluwe,Gelderland,Wolvenkeutel,C2,52.2181217,5.817093715564447
26-07-24,Veluwe,Gelderland,Wolvenkeutel,C2,52.2181217,5.817093715564447
26-07-24,Veluwe,Gelderland,Wolvenkeutel,C2,52.2181217,5.817093715564447
26-07-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
26-07-24,Midden-Drenthe,Drenthe,Wolf gezien,C1,52.87061935,6.568055858657804
25-07-24,Veluwe,Gelderland,Wolvenkeutel,C2,52.2181217,5.817093715564447
25-07-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
25-07-24,Leusden,Utrecht,Wolf gezien,C1,52.130355,5.4286989
24-07-24,Midden-Drenthe,Drenthe,Wolf gezien,C1,52.87061935,6.568055858657804
23-07-24,Heerde,Gelderland,Wolf gezien,C1,52.4056303,6.0413984003658525
23-07-24,Heerde,Gelderland,Wolf gezien,C1,52.4056303,6.0413984003658525
23-07-24,Heerde,Gelderland,Wolf gezien,C1,52.4056303,6.0413984003658525
23-07-24,Leusden,Utrecht,Wolf gezien,C1,52.130355,5.4286989
23-07-24,Leusden,Utrecht,Wolf gezien,C1,52.130355,5.4286989
22-07-24,De Bilt,Utrecht,Wolf gezien,C1,52.1445592,5.173777333788463
22-07-24,Zeist,Utrecht,Wolf gezien,C1,52.0892832,5.2276307
21-07-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
21-07-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
21-07-24,Heerde,Gelderland,Wolf gezien,C1,52.4056303,6.0413984003658525
20-07-24,Midden-Drenthe,Drenthe,Wolvenkeutel,C2,52.87061935,6.568055858657804
19-07-24,Veluwe,Gelderland,Wolvenkeutel,C2,52.2181217,5.817093715564447
19-07-24,Leusden,Utrecht,Wolf gezien,C1,52.130355,5.4286989
19-07-24,Midden-Drenthe,Drenthe,Wolvenkeutel,C2,52.87061935,6.568055858657804
19-07-24,Midden-Drenthe,Drenthe,Wolvenkeutel,C2,52.87061935,6.568055858657804
18-07-24,Heerde,Gelderland,Wolf gezien,C1,52.4056303,6.0413984003658525
18-07-24,Utrechtse Heuvelrug,Utrecht,Wolf gezien,C1,52.028653649999995,5.394884269227865
18-07-24,Utrechtse Heuvelrug,Utrecht,Wolf gezien,C1,52.028653649999995,5.394884269227865
18-07-24,Utrechtse Heuvelrug,Utrecht,Wolf gezien,C1,52.028653649999995,5.394884269227865
18-07-24,Utrechtse Heuvelrug,Utrecht,Wolf gezien,C1,52.028653649999995,5.394884269227865
17-07-24,Leusden,Utrecht,Wolf gezien,C1,52.130355,5.4286989
17-07-24,Utrechtse Heuvelrug,Utrecht,Wolf gezien,C1,52.028653649999995,5.394884269227865
17-07-24,Midden-Drenthe,Drenthe,Wolf gezien,C1,52.87061935,6.568055858657804
17-07-24,Midden-Drenthe,Drenthe,Wolf gezien,C1,52.87061935,6.568055858657804
16-07-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
15-07-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
15-07-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
15-07-24,Heerde,Gelderland,Wolf gezien,C1,52.4056303,6.0413984003658525
15-07-24,Heerde,Gelderland,Wolf gezien,C1,52.4056303,6.0413984003658525
15-07-24,Soest,Utrecht,Wolf gezien,C1,51.5725501,8.1061259
14-07-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
14-07-24,Ooststellingwerf,Fryslân,Wolvenkeutel,C2,52.99085895,6.304963752820772
14-07-24,Leusden,Utrecht,Wolf gezien,C1,52.130355,5.4286989
14-07-24,Leusden,Utrecht,Wolf gezien,C1,52.130355,5.4286989
14-07-24,Soest,Utrecht,Wolf gezien,C1,51.5725501,8.1061259
14-07-24,Midden-Drenthe,Drenthe,Wolf gezien,C1,52.87061935,6.568055858657804
13-07-24,Soest,Utrecht,Wolf gezien,C1,51.5725501,8.1061259
12-07-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
12-07-24,Leusden,Utrecht,Wolf gezien,C1,52.130355,5.4286989
12-07-24,Leusden,Utrecht,Wolf gezien,C1,52.130355,5.4286989
12-07-24,Westerveld,Drenthe,Wolf gezien,C1,52.828469850000005,6.311221629926694
11-07-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
11-07-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
11-07-24,Heerde,Gelderland,Wolf gezien,C1,52.4056303,6.0413984003658525
11-07-24,Zeist,Utrecht,Wolf gezien,C1,52.0892832,5.2276307
11-07-24,Zeist,Utrecht,Wolf gezien,C1,52.0892832,5.2276307
10-07-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
9-07-24,Heerde,Gelderland,Wolf gezien,C1,52.4056303,6.0413984003658525
9-07-24,Utrechtse Heuvelrug,Utrecht,Wolf gezien,C1,52.028653649999995,5.394884269227865
8-07-24,Heerde,Gelderland,Wolf gezien,C1,52.4056303,6.0413984003658525
8-07-24,Leusden,Utrecht,Wolf gezien,C1,52.130355,5.4286989
8-07-24,Utrechtse Heuvelrug,Utrecht,Wolf gezien,C1,52.028653649999995,5.394884269227865
8-07-24,Midden-Drenthe,Drenthe,Wolf gezien,C1,52.87061935,6.568055858657804
7-07-24,Heerde,Gelderland,Wolf gezien,C1,52.4056303,6.0413984003658525
6-07-24,Leusden,Utrecht,Wolf gezien,C1,52.130355,5.4286989
6-07-24,Leusden,Utrecht,Wolf gezien,C1,52.130355,5.4286989
6-07-24,Woudenberg,Utrecht,Wolvenkeutel,C2,52.08025955,5.4122265761644925
6-07-24,Midden-Drenthe,Drenthe,Wolf gezien,C1,52.87061935,6.568055858657804
5-07-24,Veluwe,Gelderland,Wolvenkeutel,C2,52.2181217,5.817093715564447
5-07-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
5-07-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
5-07-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
5-07-24,Rozendaal,Gelderland,Wolf gezien,C1,52.0394752,5.963024982504363
5-07-24,Midden-Drenthe,Drenthe,Wolvenkeutel,C2,52.87061935,6.568055858657804
5-07-24,Midden-Drenthe,Drenthe,Wolf gezien,C1,52.87061935,6.568055858657804
4-07-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
4-07-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
