Datum melding,Locatie aanval,Provincie,Prooidier,Dood,Gewond,Vermist,Geeuthanaseerd,Totaal aantal dode slachtoffers,Diersoort,Individu,Voldoet aan adviesnorm,Eventuele gebreken, Bedrag uitbetaling 
10-07-24,Maarsbergen,Utrecht,Scha(a)p(en),1,2,,,1,wolf,,,,  
10-07-24,Marwijksoord,Drenthe,Rund(eren),,2,,,0,wolf,,,,  
9-07-24,Wernhout,Noord-Brabant,Scha(a)p(en),1,,,1,2,wolf,,,,  
8-07-24,Nijkerk,Gelderland,Scha(a)p(en),3,,,1,4,wolf,,,, € -   
8-07-24,Harskamp,Gelderland,Scha(a)p(en),1,,,,1,wolf,,,, € -   
6-07-24,Rilland,Zeeland,Scha(a)p(en),4,1,,,4,wolf,,,, € -   
3-07-24,Ede,Gelderland,Scha(a)p(en),1,1,,,1,wolf,,,,  
1-07-24,Achtmaal,Noord-Brabant,Scha(a)p(en),1,,,,1,wolf,,,, € -   
1-07-24,Woudenberg,Utrecht,Scha(a)p(en),6,,2,,6,wolf,,,,  
28-06-24,Dwingeloo,Drenthe,Scha(a)p(en),2,,,1,3,wolf,,,, € -   
28-06-24,Maarsbergen,Utrecht,Scha(a)p(en),1,,,,1,wolf,,,, € -   
28-06-24,Wekerom,Gelderland,Scha(a)p(en),6,2,3,,6,wolf,,,, € -   
25-06-24,Appelscha,Fryslân,Scha(a)p(en),1,2,4,,1,wolf,,,, € -   
23-06-24,Rilland,Zeeland,Scha(a)p(en),4,2,,,4,wolf,,,, € -   
13-06-24,Nijkerk,Gelderland,Scha(a)p(en),1,,,,1,wolf,,Nee,, € -   
13-06-24,Eesveen,Overijssel,Scha(a)p(en),2,1,,1,3,wolf,,Nee,, € -   
13-06-24,Nijkerk,Gelderland,Scha(a)p(en),2,1,,1,3,wolf,,Nee,, € -   
11-06-24,Putten,Gelderland,Scha(a)p(en),1,,,,1,wolf,,Nee,, € -   
8-06-24,Putten,Gelderland,Scha(a)p(en),2,,2,,2,wolf,,Nee,, € -   
6-06-24,Kallenkote,Overijssel,Scha(a)p(en),8,,2,10,18,wolf,,Nee,, € -   
5-06-24,Eesveen,Overijssel,Scha(a)p(en),1,,,,1,wolf,,Nee,, € -   
3-06-24,Schoonloo,Drenthe,Rund(eren),1,,,,1,wolf,,Nee,, € -   
3-06-24,Eesveen,Overijssel,Scha(a)p(en),2,,,,2,wolf,,Nee,, € -   
29-05-24,Kallenkote,Overijssel,Scha(a)p(en),5,,,,5,wolf,,Nee,, € -   
25-05-24,Nooitgedacht,Drenthe,Rund(eren),1,,,,1,wolf,,,, € -   
25-05-24,Harskamp,Gelderland,Scha(a)p(en),2,,1,,2,wolf,,Nee,, € -   
25-05-24,Eesveen,Overijssel,Scha(a)p(en),1,,2,2,3,wolf,,Nee,, € -   
24-05-24,Nijkerk,Gelderland,Scha(a)p(en),2,,,,2,wolf,,Nee,, € -   
21-05-24,Wateren,Drenthe,Pony('s),1,,1,,1,wolf,,Nee,, € -   
21-05-24,Kootwijkerbroek,Gelderland,Scha(a)p(en),1,,4,,1,wolf,,Nee,, € -   
17-05-24,Kampen,Overijssel,Scha(a)p(en),4,,,,4,wolf,,Nee,, € -   
17-05-24,Putten,Gelderland,Scha(a)p(en),1,,,,1,wolf,,Nee,, € -   
17-05-24,Makkinga,Fryslân,Scha(a)p(en),2,,,,2,wolf,,Nee,, € -   
17-05-24,Siegerswoude,Fryslân,Scha(a)p(en),3,,1,4,7,wolf,,Nee,, € -   
16-05-24,Siegerswoude,Fryslân,Scha(a)p(en),2,,,,2,wolf,,Nee,, € -   
15-05-24,Kampen,Overijssel,Scha(a)p(en),,1,,2,2,wolf,GW4243f,Nee,, € -   
15-05-24,Voorthuizen,Gelderland,Scha(a)p(en),1,,,,1,wolf,GW3425m,Nee,, € -   
15-05-24,IJsselmuiden,Overijssel,Scha(a)p(en),7,1,,2,9,wolf,onbekend,Nee,, € -   
10-05-24,Oosterstreek,Fryslân,Scha(a)p(en),2,,,,2,wolf,GW2397m,Nee,, € -   
9-05-24,Oosterstreek,Fryslân,Scha(a)p(en),1,,3,1,2,wolf,GW2397m,,, € -   
8-05-24,Emmen,Drenthe,Scha(a)p(en),1,,,,1,wolf,GW3882m,Ja,, € -   
4-05-24,Oldeholtwolde,Fryslân,Scha(a)p(en),1,3,,2,3,wolf,onbekend,Nee,, € -   
4-05-24,Ter Idzard,Fryslân,Scha(a)p(en),2,,,,2,wolf,GW4009m,Nee,, € -   
3-05-24,Emmen,Drenthe,Scha(a)p(en),1,,,2,3,wolf,GW4075f,Nee,, € -   
3-05-24,Harskamp,Gelderland,Scha(a)p(en); Rund(eren),4,4,,2,6,wolf,GW2540f; GW3238m,Nee,, € -   
2-05-24,Hooghalen,Drenthe,Scha(a)p(en),1,,,,1,wolf,GW4075f,"Ja, maar",De draad- en paalafstand klopt niet overal, € -   
1-05-24,Hooghalen,Drenthe,Scha(a)p(en),1,,,,1,wolf,GW4075f,"Ja, maar",De draad- en paalafstand klopt niet overal, € -   
29-04-24,Beilen,Drenthe,Scha(a)p(en),4,,,15,19,wolf,GW3882m,,, € -   
29-04-24,Lunteren,Gelderland,Scha(a)p(en),1,,1,,1,wolf,GW4242m,Nee,, € -   
29-04-24,Kootwijkerbroek,Gelderland,Scha(a)p(en),3,,,19,22,wolf,GW2540f; GW3238m,Nee,, € -   
29-04-24,Hooghalen,Drenthe,Geit(en),1,,,,1,wolf,GW4075f,"Ja, maar",De draad- en paalafstand klopt niet overal, € -   
29-04-24,Fochteloo,Fryslân,Scha(a)p(en),2,,5,,2,wolf,GW3689m; GW3690m,Nee,, € -   
28-04-24,Lunteren,Gelderland,Scha(a)p(en),1,,1,,1,wolf,GW4242m,Nee,, € -   
27-04-24,Emst,Gelderland,Scha(a)p(en),2,1,,1,3,wolf,onbekend,Nee,, € -   
27-04-24,Kootwijkerbroek,Gelderland,Scha(a)p(en),5,4,,,5,wolf,GW3238m,Nee,, € -   
27-04-24,Boijl,Fryslân,Minipaard(en),1,1,,,1,wolf,GW2397m,,, € -   
26-04-24,Kootwijkerbroek,Gelderland,Scha(a)p(en),10,,,,10,wolf,GW2540f; GW3238m,Nee,, € -   
26-04-24,Achtmaal,Noord-Brabant,Scha(a)p(en),1,,,,1,wolf,GW3449f,Nee,, € -   
25-04-24,Oosterstreek,Fryslân,Scha(a)p(en),3,,3,,3,wolf,gemixt profiel,Nee,, € -   
25-04-24,Lunteren,Gelderland,Scha(a)p(en),3,1,3,,3,wolf,GW2435m,Nee,, € -   
25-04-24,Hooghalen,Drenthe,Scha(a)p(en),1,,,,1,wolf,onbekend,"Ja, maar",op enkele plaatsen voldeed de draadafstand niet, € -   
25-04-24,Boijl,Fryslân,Pony('s),1,,,,1,wolf,GW2397m,Nee,, € -   
24-04-24,Otterlo,Gelderland,Rund(eren),1,,,,1,wolf,GW3695m; gemixt profiel,Nee,, € -   
23-04-24,Kallenkote,Overijssel,Scha(a)p(en),2,,1,1,3,wolf,GW4009m,Nee,, € -   
