Datum melding,Locatie aanval,Provincie,Prooidier,Dood,Gewond,Vermist,Geeuthanaseerd,Totaal aantal dode slachtoffers,Diersoort,Individu,Voldoet aan adviesnorm,Eventuele gebreken, Bedrag uitbetaling ,latitude,longitude,year_month
2024-07-10,Maarsbergen,Utrecht,Scha(a)p(en),1.0,2.0,,,1,wolf,,,,  ,52.057368,5.4034953,2024-07
2024-07-10,Marwijksoord,Drenthe,Rund(eren),,2.0,,,0,wolf,,,,  ,52.96159635,6.649183523592022,2024-07
2024-07-09,Wernhout,Noord-Brabant,Scha(a)p(en),1.0,,,1.0,2,wolf,,,,  ,51.4540976,4.6420179,2024-07
2024-07-08,Nijkerk,Gelderland,Scha(a)p(en),3.0,,,1.0,4,wolf,,,, € -   ,52.21485365,5.478146323965094,2024-07
2024-07-08,Harskamp,Gelderland,Scha(a)p(en),1.0,,,,1,wolf,,,, € -   ,52.1316634,5.75085,2024-07
2024-07-06,Rilland,Zeeland,Scha(a)p(en),4.0,1.0,,,4,wolf,,,, € -   ,51.4164747,4.1812417,2024-07
2024-07-03,Ede,Gelderland,Scha(a)p(en),1.0,1.0,,,1,wolf,,,,  ,52.07168255,5.745510631034939,2024-07
2024-07-01,Achtmaal,Noord-Brabant,Scha(a)p(en),1.0,,,,1,wolf,,,, € -   ,51.4537245,4.5842818,2024-07
2024-07-01,Woudenberg,Utrecht,Scha(a)p(en),6.0,,2.0,,6,wolf,,,,  ,52.0805478,5.4134327,2024-07
2024-06-28,Dwingeloo,Drenthe,Scha(a)p(en),2.0,,,1.0,3,wolf,,,, € -   ,52.8333073,6.3669053,2024-06
2024-06-28,Maarsbergen,Utrecht,Scha(a)p(en),1.0,,,,1,wolf,,,, € -   ,52.057368,5.4034953,2024-06
2024-06-28,Wekerom,Gelderland,Scha(a)p(en),6.0,2.0,3.0,,6,wolf,,,, € -   ,52.1118306,5.7157689,2024-06
2024-06-25,Appelscha,Fryslân,Scha(a)p(en),1.0,2.0,4.0,,1,wolf,,,, € -   ,52.9524178,6.3441136,2024-06
2024-06-23,Rilland,Zeeland,Scha(a)p(en),4.0,2.0,,,4,wolf,,,, € -   ,51.4164747,4.1812417,2024-06
2024-06-13,Nijkerk,Gelderland,Scha(a)p(en),1.0,,,,1,wolf,,Nee,, € -   ,52.21485365,5.478146323965094,2024-06
2024-06-13,Eesveen,Overijssel,Scha(a)p(en),2.0,1.0,,1.0,3,wolf,,Nee,, € -   ,52.824671,6.1418966,2024-06
2024-06-13,Nijkerk,Gelderland,Scha(a)p(en),2.0,1.0,,1.0,3,wolf,,Nee,, € -   ,52.21485365,5.478146323965094,2024-06
2024-06-11,Putten,Gelderland,Scha(a)p(en),1.0,,,,1,wolf,,Nee,, € -   ,52.24773005,5.57827393798401,2024-06
2024-06-08,Putten,Gelderland,Scha(a)p(en),2.0,,2.0,,2,wolf,,Nee,, € -   ,52.24773005,5.57827393798401,2024-06
2024-06-06,Kallenkote,Overijssel,Scha(a)p(en),8.0,,2.0,10.0,18,wolf,,Nee,, € -   ,52.7965731,6.1740658,2024-06
2024-06-05,Eesveen,Overijssel,Scha(a)p(en),1.0,,,,1,wolf,,Nee,, € -   ,52.824671,6.1418966,2024-06
2024-06-03,Schoonloo,Drenthe,Rund(eren),1.0,,,,1,wolf,,Nee,, € -   ,52.9053531,6.7016543,2024-06
2024-06-03,Eesveen,Overijssel,Scha(a)p(en),2.0,,,,2,wolf,,Nee,, € -   ,52.824671,6.1418966,2024-06
